views,likes,dislikes,comment_count,views_change,publish time
10775416,205630,4927,35422,5107568,304
15104666,143947,12709,25593,25407750,304
11217517,216489,8821,11975,18837757,304
3930664,104641,19448,24078,13737457,304
4499836,16135,432,2809,10416390,304
1043202,42380,768,5825,1019822,304
720203,19850,1517,1073,1950294,304
102012605,2376636,117196,134224,1491088281,303
2032821,124607,1183,8577,1540333,304
6197393,476724,4853,23008,7520481,304
700476,8114,2682,1410,250177,304
7475081,1035003,4901,86912,4769604,304
505886,23207,5375,7030,1447941,304
514888,22136,244,771,1035172,304
406769,6593,397,1253,1956598,304
1666003,61821,1055,6597,2090850,304
1417912,67856,653,67310,1426941,305
1524361,79021,1063,4659,1466889,305
340348,5474,372,653,863794,304
1035804,18816,737,1133,3086907,304
474858,15051,1034,2364,321870,304
343860,6546,404,732,220237,304
681439,29225,1356,5366,1548000,304
800306,23559,3133,2977,838038,305
2259888,99803,1074,15766,2828882,305
1088828,34989,1773,10715,424645,305
133758,781,94,308,12419,303
169977,6152,150,315,236375,304
769769,6133,1124,2837,751629,305
52886,1537,123,869,12034,304
360539,16470,640,1515,1311904,304
4600718,167704,2623,5290,110327081,304
379172,5794,244,360,669571,304
676692,24794,1326,3567,587585,304
71610,4571,119,545,82609,305
141741,5761,352,961,31208,305
66021,2136,94,542,7757,305
127525,1094,43,414,126234,304
105270,5186,83,387,70679,304
95520,4816,51,313,100396,305
828587,38326,654,1088,2390201,305
23429,365,10,188,18205,304
69199,4237,15,220,284432,305
702208,42577,723,2624,1035573,304
6582,174,8,22,9769,304
14657,89,5,36,508,304
114923,6490,78,4216,143033,305
874883,18686,711,844,9746098,306
22383,921,26,78,1332496,305
42658,2120,25,136,81535,305
451675,7014,579,1833,1583120,306
110590,104,5,10,246782,306
111077,567,38,102,1078903,307
3987,100,4,15,3552,312
73984,3676,78,353,71528,307
48130,271,10,71,147589,308
2016029,21062,2319,4200,513887,303
2899302,159586,3464,11535,7436678,303
366048,14742,1308,1948,590508,303
597308,10554,566,504,1707125,303
178325,1641,83,178,467952,303
180713,9225,352,1180,46421,303
12969561,591776,18790,63191,88468818,303
2275359,111392,3145,10169,8393849,303
8076063,214451,2661,5863,52589742,303
1202878,46101,702,4034,1907478,304
391853,11765,158,523,917505,303
33260,181,79,30,22029,817
1145464,28690,887,5083,3799943,304
377704,14359,830,2056,134942,303
1888088,85515,1168,4044,9717222,303
298927,2616,1556,1478,12460,303
715011,6037,467,587,738141,304
372823,6433,766,534,58386,303
1360509,54560,519,1579,490424,304
145442,653,218,168,22703,303
76536,3536,199,123,343090,303
199206,9193,335,728,105259,303
219662,13280,100,434,110497,304
183509,4702,185,265,594075,303
99495,2837,148,461,493138,303
29188,411,5,132,19362,303
69795,1629,75,50,116359,303
21007,433,11,35,145750,303
56969,5991,33,449,45687,304
128002,1939,253,266,1507938,303
176140,15955,178,1586,287447,303
97795,1271,128,146,35791,303
443412,3563,100,147,572636,304
65758,4691,418,1033,54499,304
795683,44085,236,1604,43139673,303
83038,4116,35,103,44254,304
1024814,174637,534,7475,3590834,303
34293,400,86,381,11095,305
438025,24398,225,1845,402970,304
278899,4513,126,314,2315109,305
39799,290,222,0,5309,305
371401,22490,230,1137,1657254,305
23987,1669,33,169,51654,303
2087,4,0,0,737,305
2358,17,1,1,43258,305
13676,1172,18,169,9362,305
36152111,444698,15434,48348,51085135,302
20752341,804496,17557,44075,186333908,302
703631,15716,849,2864,457167,302
1927025,31492,1550,2680,2764098,302
799870,22537,805,2942,789196,302
21046,1308,62,206,1092017,301
576496,4730,399,771,432074,302
268148,17601,555,3972,324879,302
3460380,17465,1099,2794,1780590,302
2810983,93993,3186,12318,1664857,303
560687,17049,411,854,1101445,303
357054,11333,522,527,174969,302
355131,29282,494,2474,190554,302
816073,52579,1727,3586,548368,303
540553,28387,300,1193,452662,302
159532,789,92,0,479835,303
1046154,39200,629,1775,5012021,303
67078,778,33,84,72969,303
239773,11786,169,605,635235,303
617406,34338,637,2154,856926,303
14265,832,11,70,83783,303
1032,3,1,1,432,304
6553,477,2,32,9447,304
3896,9,0,1,3899,306
15476,34,1,10,1250,3474
5963,47,2,13,11125,304
5839,427,14,28,101406,304
1508950,181682,2062,9854,2862421,304
29723,2083,8,227,333763,305
784937,4553,290,1478,113294,307
2358051,24368,5513,5622,6227774,300
6988208,368569,8898,103635,1252516,302
1675419,12798,1558,1625,1133465,301
2382878,119254,1404,10148,983162,301
226800,2167,123,1137,423546,301
2788162,27260,896,3970,4563895,302
214150,4262,535,753,866935,301
325569,12404,1024,1437,278841,302
2316153,96546,1087,10106,2207036,302
91100,1174,200,323,311032,301
818533,42798,855,5748,4325507,302
88952,591,59,594,4844,301
41824,212,42,116,3064,301
2175978,37009,915,5657,389260,303
44805,1496,106,1098,39064,302
24715,180,28,152,1768,301
111349,662,72,611,3868,301
1675392,16239,746,1946,271232,303
25203,263,355,688,1156,301
50934,1349,40,138,57324,302
2533102,19731,2011,1903,16066036,303
836305,9164,664,3133,540544,303
474712,17620,202,922,6707363,303
5464,13,1,2,2241,2002
22607,1472,22,91,245852,303
612279,29873,520,1458,1826925,303
35511,2016,11,69,5230823,303
129071,12681,83,789,1593089,303
7840,253,17,36,183722,303
1819783,17552,6131,7955,2838162,300
1251416,10836,568,757,65331,300
3203154,197222,1453,11330,10670180,300
639982,16519,1243,1739,470332,300
2049961,9814,2630,2153,347870,300
522265,25431,802,1171,533156,300
1112006,38196,1299,2436,2679806,300
639536,9718,1536,1004,87020,300
1462885,10301,751,4623,348692,300
1112617,11645,362,1943,210698,300
170075,696,849,1257,6477,300
123251,3601,149,400,543884,300
632018,22877,193,1065,171622,300
806660,37548,932,2027,116537,300
128287,5310,490,1624,328058,300
651781,17478,604,2845,626479,300
976530,22988,154,1665,979363,300
206873,3362,128,144,36819,300
62644,198,281,236,14066,300
3383838,63060,3779,7123,2325464,301
2143706,27662,2086,2934,938814,301
502040,32735,236,4000,248869,300
186119,4727,178,567,410856,300
364914,10007,187,1143,1280872,300
2623238,119787,1975,10218,3596639,300
159384,4667,187,281,194885,301
726679,25676,614,2624,478891,300
56071,3074,51,273,63354,300
88667,1120,58,207,29270,300
154224,1584,63,272,79031,300
270360,11727,359,1685,195909,301
1456636,93590,895,15339,758760,301
166906,4418,226,399,47731,301
410133,7726,606,1097,1485483,300
140887,1659,41,127,1776,300
139186,371,124,88,12748,300
108845,3131,477,3530,37598,301
382766,13924,211,894,1406749,301
247842,10893,76,373,310373,300
1080069,9673,857,4038,716187,302
16456,299,44,40,100408,300
178433,7481,249,342,67196,301
9454,267,36,43,240994,300
43651,1411,49,148,38587,300
90923,3722,192,563,38170,301
122974,6200,41,401,46511,302
1225591,108292,447,4668,7206930,302
149005,351,6,21,200924,303
93494,6975,28,688,236800,303
913756,67288,1561,2925,3411717,304
68625,3269,60,376,453044,303
373105,11555,264,1097,361315,305
156243,7399,92,761,1621950,304
13025011,436454,9298,31464,10362383,299
21545253,504791,21898,34879,77929482,299
1499698,38757,952,3678,1375032,299
540227,2533,1212,1766,58790,299
352742,11503,214,1161,1549024,299
680569,13802,458,1351,896259,299
258814,14865,281,1095,41874,299
479201,19812,397,1311,484556,299
506698,28537,441,4351,234383,299
1543548,54190,1296,5941,569827,299
1002131,16443,598,811,3037643,299
453170,10802,228,1087,931418,299
557538,14416,231,631,399034,298
734594,40170,397,2182,5460456,299
1152064,41379,920,1323,2761832,299
592459,25680,1574,4994,618142,299
193223,8141,302,1226,107739,299
1590640,49590,2019,1842,2707556,300
536419,32725,1575,3814,490044,299
447310,16829,182,538,1157759,299
1248469,9536,397,2319,589306,300
210815,5231,73,728,533479,299
96440,8775,113,413,42079,299
54392,470,19,44,246262,299
119519,13367,104,4295,215565,299
172205,5474,91,366,1747786,299
84428,557,53,363,47756,299
183369,11717,92,548,133035,299
163043,1456,396,621,6927,299
225463,946,91,895,9307,298
7576,51,34,108,3542,299
210065,23366,338,1075,129186,300
114518,1721,43,141,99319,299
6183,56,29,54,302,299
270597,3747,77,244,117479,305
139393,8735,181,1061,17164,299
146487,2270,25,65,202425,300
30156,203,46,301,4202,299
13016,18,8,52,919,299
3892,35,14,91,4151,299
9078,28,9,7,4881,835
34059,2183,375,622,16639,300
58619,263,24,20,23906,302
5160,152,11,15,25407,305
527531,10200,540,2197,348761,303
451381,3110,14575,3095,47538,304
5950405,147608,5953,17901,786968,298
2366705,50495,3313,5179,2082578,298
1998883,94430,2841,16939,129709,299
589827,11839,1815,4413,1021725,298
5557499,161177,7360,14270,27109113,298
1047573,28418,1186,0,288547,298
930513,17044,1136,1586,53804,298
1289314,39813,1535,2030,1773737,298
1558898,17640,1173,2935,225611,298
1134859,21876,391,1067,14886477,298
2319083,98929,1251,4541,4074625,298
349102,3834,966,711,65611,298
286704,10933,231,2386,292171,298
3873702,149246,2314,9929,7664617,299
2303131,42395,2237,6802,1175636,299
2819213,54017,1734,6646,1521584,299
552694,15642,586,1559,66728,298
3322855,79652,1543,7945,6198788,298
285437,6715,1042,1440,57910,298
436638,37923,485,3722,301495,298
279714,17440,320,764,160102,298
554250,9325,180,459,513563,298
707164,11709,1044,3676,817459,298
461918,14478,135,956,636442,298
142076,1942,87,203,120048,298
224381,12946,1013,1841,45454,298
500154,9613,173,1104,254864,1067
1420335,51801,1441,3499,5787730,299
219585,4512,903,4952,7228,298
338425,10947,2133,2991,347422,298
1018706,68667,2854,984,328445,298
480162,17538,325,1389,5266606,299
116657,2162,47,207,195093,298
150117,11143,64,899,28499,298
72728,502,43,74,14781,333
199922,2013,55,147,254496,298
26940,1933,11,319,65657,298
748102,47024,1670,3775,480160,299
1484851,6093,304,601,2531955,298
246989,8801,101,712,888115,298
1485868,64074,738,3230,3079671,299
93534,1986,225,857,21847,299
279046,5342,83,342,1205388,299
307975,9093,225,2172,38483,299
125128,4623,49,305,595198,299
612653,23052,301,2125,335591,299
94892,1503,16,288,105101,299
221395,18407,185,1298,369839,299
22974,276,170,654,2455,298
40840,1435,86,824,3144,299
45774,1100,56,297,12718,299
195525,2205,148,231,995867,300
2232,12,3,19,1485,299
4386,2,2,1,11727,299
27571,286,6,41,119809,301
82123,258,98,107,29233,300
437509,36907,306,4449,724575,300
15787,410,13,81,18135,300
3643,159,1,20,2327,303
2367,55,1,4,9348,300
5584,38,2,10,2224,313
1113089,33670,794,1422,1132840,297
631374,13097,11270,3119,918359,297
184579,2565,84,242,1220741,297
4979612,46680,11703,0,5827045,298
975232,20140,1954,2172,897834,297
1057014,18934,692,2157,111752,298
297279,1733,245,169,104208,298
2805,52,7,8,1540,298
17716,49,2,2,18492,675
5696,8,0,1,14148,307
14175,344,13,106,1533,300
5169,27,0,4,10429,300
51186,2106,22,320,11744,300
1244459,17517,3671,8002,515332,296
36857298,2729292,47896,546100,301404313,296
7967275,91200,4803,5805,5791265,297
415263,4192,474,631,107825,296
784451,6845,772,758,1140454,296
2263186,144938,1736,11631,2924068,297
3202879,110088,1728,3623,87978812,297
714359,9635,808,2025,992494,296
333626,3264,286,367,189721,297
769805,7621,481,979,634251,297
52109,1411,50,164,263646,297
22786,1349,25,221,11469,298
284176,9477,271,532,2611123,299
86897,469,4,106,9581,3740
29725,872,34,47,45787,298
28607,2098,91,359,33809,298
28091,1614,44,260,18048,298
327739,6231,52,160,81795,299
1776191,21783,1286,2426,1350002,295
2952730,117504,4117,7050,2166704,295
1361969,90736,1102,8234,413424,295
402509,14694,812,1561,139193,295
819692,19897,1597,2355,258144,295
294007,29017,251,6890,490532,295
872663,12449,1267,1857,53692,296
2127874,286258,1796,44520,2197644,296
633103,23991,820,2582,378004,296
148590,5182,169,270,35411,295
145560,5114,232,670,247817,295
746691,19242,961,3050,706818,296
189308,2394,362,263,582076,295
123804,4136,463,519,42084,295
28434,387,32,45,265969,296
729500,22885,751,3235,1388247,297
832700,28956,131,752,1939150,298
23393,226,29,75,2082955,298
26830,79,1,8,6760,3689
3558563,221868,4678,26660,5033766,295
644576,29669,4862,4963,295469,294
4046720,68563,3222,3700,11849317,293
1339398,39094,1471,3810,3080664,295
520636,1005,395,261,14532,294
701874,40666,528,1908,701458,295
116336,441,233,229,6339,295
768647,26303,841,2316,964371,295
295048,2338,2221,499,475630,295
737415,4136,393,1314,158343,294
965328,20934,699,64,578967,294
1281002,74074,1208,50319,411383,295
1686243,133400,530,23864,1313086,295
1058992,22551,284,1296,727999,295
5827999,223308,8472,13866,15497553,296
268241,5446,330,392,761110,295
831957,24840,1128,3651,1035958,296
22695,108,312,203,414,2753
18897,314,48,34,164850,296
553734,6428,161,586,1289212,297
76351,5508,29,345,420192,298
87215,407,27,140,73935,2404
4524,44,7,9,2218,300
2304379,35108,24731,19012,689818,293
6877412,208531,11055,14351,18126622,293
1429023,33689,8370,3057,1942174,293
1161776,60228,1976,11940,374885,293
1457307,29851,1032,7918,1087282,293
1172709,11033,958,3510,969578,293
3513086,118784,3594,11060,12033917,293
502681,2699,1854,2193,85790,293
204915,1179,421,1025,61864,293
169022,1250,705,1169,11328,293
556475,23837,275,1322,184107,293
5068126,206489,18261,51847,4647468,294
1218771,8737,1004,3906,7720462,293
302703,22861,447,1896,142183,293
168118,5670,399,614,69352,293
249973,4414,180,491,41669,293
695072,18723,2365,4784,562000,293
486240,7073,174,637,447252,294
311117,19172,255,1698,242098,293
759274,24368,837,4077,738839,293
1548962,122670,1421,15016,10983323,293
980944,8335,2517,5304,588800,294
49313,2466,74,291,19851,293
1752883,137210,1198,6341,4217171,293
145213,4314,435,3769,2223,294
464544,17398,304,1077,209194,294
53812,423,34,324,47665,293
24907,611,42,98,30862,293
933117,514,127,0,439352,294
27779,49,7,34,42005,295
169915,7518,152,793,892972,295
4040,19,3,0,193,294
1547962,37947,763,1827,8522762,297
6890,199,9,72,154341,318
1728219,80272,425,1846,17613511,296
245735,10444,127,1101,2517945,296
47178,1541,27,148,107302,296
334148,1746,134,1442,232442,298
651268,52910,245,2615,1011703,298
15870,910,41,80,132031,298
1273655,26473,1380,3106,3534264,300
78674,4826,118,344,130400,299
90206,6419,34,443,417184,299
